,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
1370,3784,585.0,B,100000.0,100.0,,,,,,,,,12.24,A,1.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,585.0,B,100000.0,100.0,3870.0,Paid in full
1009,6320,564.0,B,100000.0,50.0,547.0,C,35000.0,50.0,,,,,1.46,B,8.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,41.666666666667,A,128897.41,A,18260.513333333,A,0.14,A,0.0,A,0.0,A,0.0,A,0.0,A,128897.41,,preferred,,555.0,B,100000.0,100.0,5581.0,Paid in full
413,2022,534.0,C,35000.0,50.0,,,,,,,,,2.84,A,3.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,14.5,A,17000.0,A,1000.0,A,0.06,A,0.0,A,0.0,A,0.0,A,1.0,A,17000.0,,standard,,534.0,C,35000.0,50.0,1700.0,Default
118,631,503.0,C,35000.0,100.0,,,,,,,,,17.76,A,,,Home,A,N,,0.0,A,0.0,A,,,0.25,A,4.5,R,127200.5,A,12546.5,A,0.1,A,0.0,A,0.0,A,0.0,A,0.0,A,127200.5,,preferred,,503.0,C,35000.0,100.0,503.0,Paid via discounted payoff
1654,5224,693.0,A,150000.0,100.0,,,,,,,,,4.34,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,44.25,A,27986.25,A,8118.0,A,0.29,A,0.0,A,0.0,A,0.0,A,1.0,A,27986.25,,preferred,,693.0,A,150000.0,100.0,4821.0,Paid in full
963,5894,580.0,B,100000.0,100.0,,,,,,,,,1.98,B,18.0,,Verified,A,N,,0.0,A,0.0,A,,,1.5,B,69.5,A,62348.64,A,1125.7,A,0.02,A,0.0,A,0.0,A,0.0,A,1.0,A,62348.64,,preferred,,580.0,B,100000.0,100.0,5328.0,Paid in full
1993,11089,508.0,C,35000.0,45.0,552.0,C,35000.0,44.0,,,,,7.39,A,28.0,,Unknown,,N,,0.0,A,0.0,A,,,0.0,A,13.5,B,47898.75,A,17207.7375,A,0.36,A,0.0,A,0.0,A,0.0,A,1.0,A,47898.75,,capped,,529.0,C,35000.0,89.0,8965.0,Paid in full
1786,7119,508.0,C,35000.0,90.0,613.0,A,150000.0,10.0,,,,,4.4,A,,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,0.0,R,233806.75,A,12134.75,A,0.05,A,0.0,A,0.0,A,0.0,A,2.0,C,233806.75,,standard,,518.0,C,35000.0,100.0,935.0,Default
636,4411,740.0,A,150000.0,100.0,,,,,,,,,4.06,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,740.0,A,150000.0,100.0,4349.0,Paid in full
1661,6328,713.0,A,150000.0,100.0,,,,,,,,,21.64,A,80.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,10.5,R,164320.45,A,48517.7075,A,0.3,A,0.0,A,0.0,A,0.0,A,1.0,A,164320.45,,preferred,,713.0,A,150000.0,100.0,5603.0,Paid off with renewal
303,1535,605.0,A,150000.0,100.0,,,,,,,,,12.49,A,54.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,13.0,A,96636.75,A,13500.0,A,0.14,A,0.0,A,0.0,A,0.0,A,1.0,A,96636.75,,preferred,,605.0,A,150000.0,100.0,1294.0,Default
175,787,537.0,C,35000.0,100.0,,,,,,,,,9.83,A,17.0,,Verified,A,N,,0.0,A,0.0,A,,,0.25,A,32.75,A,65687.0,A,10049.5,A,0.15,A,0.0,A,0.0,A,0.0,A,1.0,A,65687.0,,preferred,,537.0,C,35000.0,100.0,659.0,Paid off with renewal
571,3503,582.0,B,100000.0,100.0,,,,,,,,,1.11,B,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,13.25,A,32607.6475,A,1000.0,A,0.03,A,0.0,A,0.0,A,0.0,A,1.0,A,32607.6475,,standard,,582.0,B,100000.0,100.0,3605.0,Default
1974,8775,741.0,A,150000.0,100.0,,,,,,,,,12.28,A,65.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,10.0,C,767088.75,A,387205.25,A,0.5,A,0.0,A,0.0,A,0.0,A,2.0,C,767088.75,,preferred,,741.0,A,150000.0,100.0,7477.0,Default
323,1695,713.0,A,150000.0,100.0,,,,,,,,,3.08,A,80.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,34.666666666667,A,785371.0,A,127546.85,A,0.16,A,0.0,A,0.0,A,0.0,A,2.0,C,785371.0,,capped,,713.0,A,150000.0,100.0,633.0,Paid in full
1128,8984,704.0,A,150000.0,100.0,,,,,,,,,2.31,A,31.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,10.4,C,122193.6,A,18409.9,A,0.15,A,0.0,A,0.0,A,0.0,A,1.0,A,122193.6,,preferred,,704.0,A,150000.0,100.0,7526.0,Paid in full
354,1916,616.0,A,150000.0,80.0,613.0,A,150000.0,20.0,,,,,20.52,A,69.0,,Home,A,N,,0.0,A,0.0,A,,,0.5,A,84.0,A,52337.25,A,3688.25,A,0.07,A,0.0,A,0.0,A,0.0,A,2.0,C,52337.25,,preferred,,615.0,A,150000.0,100.0,1971.0,Paid off with renewal
1108,8097,548.0,C,35000.0,100.0,,,,,,,,,11.82,A,3.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,35.0,A,49774.75,A,6043.0,A,0.12,A,0.0,A,0.0,A,0.0,A,0.0,A,49774.75,,preferred,,548.0,C,35000.0,100.0,6916.0,Default
1568,5871,762.0,A,150000.0,100.0,,,,,,,,,4.03,A,47.0,,Home,A,Y,D,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,762.0,A,150000.0,100.0,5297.0,Paid in full
1909,9866,576.0,B,100000.0,100.0,,,,,,,,,3.65,A,80.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,61.0,A,39307.333333333,A,5976.3333333333,A,0.15,A,0.0,A,0.0,A,0.0,A,0.0,A,39307.333333333,,preferred,,576.0,B,100000.0,100.0,8181.0,Default
591,3400,623.0,A,150000.0,100.0,,,,,,,,,4.6,A,85.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,623.0,A,150000.0,100.0,3550.0,Paid in full
1211,3150,641.0,A,150000.0,100.0,,,,,,,,,8.92,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,641.0,A,150000.0,100.0,3301.0,Paid in full
298,1543,625.0,A,150000.0,100.0,,,,,,,,,2.78,A,23.0,,Verified,A,N,,0.0,A,0.0,A,,,3.6,C,21.0,A,56987.8,A,2511.8,A,0.04,A,0.0,A,0.0,A,0.0,A,0.0,A,56987.8,,preferred,,625.0,A,150000.0,100.0,1522.0,Paid in full
1997,11243,508.0,C,35000.0,45.0,552.0,C,35000.0,44.0,,,,,7.39,A,28.0,,Unknown,,N,,8.031,C,3846.8333333333,A,,,0.0,A,13.5,B,47898.75,A,17207.7375,A,0.36,A,0.0,A,0.0,A,0.0,A,0.0,A,47898.75,,,,0.0,,,89.0,8965.0,Paid in full
769,4447,661.0,A,150000.0,100.0,,,,,,,,,16.49,A,88.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,9.75,R,767131.5,A,362456.5,A,0.47,A,0.0,A,0.0,A,0.0,A,1.0,A,767131.5,,capped,,661.0,A,150000.0,100.0,4222.0,Paid in full
1353,4508,500.0,C,35000.0,100.0,,,,,,,,,6.98,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.5,A,19.0,A,103705.1025,A,7163.095,A,0.07,A,0.0,A,0.0,A,0.0,A,2.0,C,103705.1025,,preferred,,500.0,C,35000.0,100.0,4468.0,Default
1953,8981,632.0,B,100000.0,100.0,,,,,,,,,9.55,A,42.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,C,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,632.0,B,100000.0,100.0,7616.0,Paid off with renewal
43,301,650.0,A,150000.0,100.0,,,,,,,,,14.24,A,,,Verified,,N,,0.0,A,0.0,A,,,0.0,A,89.333333333333,A,79410.256666667,A,7787.9766666667,A,0.1,A,0.0,A,0.0,A,0.0,A,0.0,A,79410.256666667,,preferred,,650.0,A,150000.0,100.0,287.0,Paid off with renewal
1207,3439,595.0,B,100000.0,100.0,,,,,,,,,1.82,B,6.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,595.0,B,100000.0,100.0,3561.0,Paid in full
228,1137,736.0,A,150000.0,100.0,,,,,,,,,20.81,A,99.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,24.0,A,298823.2,A,77588.4,A,0.26,A,0.0,A,0.0,A,0.0,A,2.0,C,298823.2,,capped,,736.0,A,150000.0,100.0,1053.0,Default
247,1337,,,,,,,,,,,,,,,,,Home,A,N,,0.0,A,0.0,A,,,2666.6666666667,,17.333333333333,A,91666.666666667,A,4666.6666666667,A,0.05,A,0.0,A,0.0,A,0.0,A,1.0,A,91666.666666667,,preferred,,0.0,,,0.0,1294.0,Default
1081,8520,561.0,C,35000.0,100.0,,,,,,,,,1.69,B,1.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,73.5,A,262169.83333333,A,15578.166666667,A,0.06,A,0.0,A,0.0,A,0.0,A,1.0,A,262169.83333333,,preferred,,561.0,C,35000.0,100.0,7256.0,Default
1284,2731,718.0,A,150000.0,100.0,,,,,,,,,26.87,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.5,A,61.75,A,189827.0,A,6774.5,A,0.04,A,0.0,A,0.0,A,0.0,A,1.0,A,189827.0,,preferred,,718.0,A,150000.0,100.0,2846.0,Default
1546,5186,716.0,A,150000.0,100.0,,,,,,,,,5.59,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,43.25,A,191364.1175,A,20752.5,A,0.11,A,0.0,A,0.0,A,0.0,A,0.0,A,191364.1175,,preferred,,716.0,A,150000.0,100.0,4765.0,Paid via discounted payoff
194,852,,,,50.0,,,,,,,,,6.78,A,,,Home,A,N,,0.0,A,0.0,A,,,0.2,A,6.2,R,79533.2,A,45241.0,A,0.57,A,0.0,A,0.0,A,0.0,A,1.0,A,79533.2,,preferred,,0.0,,,0.0,737.0,Default
1918,8994,632.0,B,100000.0,100.0,,,,,,,,,9.55,A,42.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,25.333333333333,A,14903.666666667,A,1323.3333333333,A,0.09,A,0.0,A,0.0,A,0.0,A,1.0,A,14903.666666667,,preferred,,632.0,B,100000.0,100.0,7616.0,Paid off with renewal
767,5225,693.0,A,150000.0,100.0,,,,,,,,,4.34,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,44.25,A,27986.25,A,8118.0,A,0.29,A,0.0,A,0.0,A,0.0,A,0.0,A,27986.25,,preferred,,693.0,A,150000.0,100.0,4821.0,Paid in full
237,1323,642.0,A,150000.0,100.0,,,,,,,,,6.25,A,12.0,,Verified,A,N,,53.968,D,70622.75,A,,,0.0,A,54.666666666667,A,130859.56333333,A,18683.183333333,A,0.14,A,70622.75,A,4.497,A,3.0,B,2.0,C,130859.56333333,,preferred,,642.0,A,150000.0,100.0,543.0,Paid in full
1724,6591,653.0,A,150000.0,100.0,,,,,,,,,13.56,A,69.0,,Verified,A,N,,0.0,A,0.0,A,,,0.33333333333333,A,38.0,A,116809.66666667,A,16420.666666667,A,0.14,A,0.0,A,0.0,A,0.0,A,1.0,A,116809.66666667,,preferred,,653.0,A,150000.0,100.0,5855.0,Default
1606,4510,712.0,A,150000.0,100.0,,,,,,,,,28.91,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,712.0,A,150000.0,100.0,4431.0,Paid off with renewal
1202,2864,620.0,A,150000.0,100.0,,,,,,,,,7.9,A,74.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,620.0,A,150000.0,100.0,2982.0,Paid in full
114,715,620.0,A,150000.0,100.0,,,,,,,,,109.23,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,26.0,A,215892.364,A,13416.6,A,0.06,A,0.0,A,0.0,A,0.0,A,2.0,C,215892.364,,preferred,,620.0,A,150000.0,100.0,576.0,Paid in full
1881,8934,673.0,A,150000.0,100.0,,,,,,,,,2.69,A,41.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,5.3333333333333,C,146077.15666667,A,90402.396666667,A,0.62,A,0.0,A,0.0,A,0.0,A,1.0,A,146077.15666667,,capped,,673.0,A,150000.0,100.0,7352.0,Default
844,6102,635.0,A,150000.0,100.0,,,,,,,,,3.24,A,45.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,10.25,R,267331.765,A,6000.0,A,0.02,A,0.0,A,0.0,A,0.0,A,0.0,A,267331.765,,capped,,635.0,A,150000.0,100.0,5428.0,Paid in full
1375,4057,562.0,B,100000.0,100.0,,,,,,,,,8.23,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,3.0,C,139.25,A,63750.0,A,1532.5,A,0.02,A,0.0,A,0.0,A,0.0,A,0.0,A,63750.0,,capped,,562.0,B,100000.0,100.0,4048.0,Default
1672,7371,652.0,A,150000.0,100.0,,,,,,,,,5.07,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.5,A,10.0,C,282394.07333333,A,29500.0,A,0.1,A,0.0,A,0.0,A,0.0,A,2.0,C,282394.07333333,,preferred,,652.0,A,150000.0,100.0,201.0,Default
1508,4309,594.0,B,100000.0,100.0,,,,,,,,,31.23,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,23.0,A,79738.246666667,A,3652.3333333333,A,0.05,A,0.0,A,0.0,A,0.0,A,0.0,A,79738.246666667,,preferred,,594.0,B,100000.0,100.0,4245.0,Default
1957,9255,610.0,B,100000.0,100.0,,,,,,,,,10.29,A,40.0,,Home,A,N,,0.0,A,0.0,A,,,1.75,B,74.75,A,68308.76,A,4043.585,A,0.06,A,0.0,A,0.0,A,0.0,A,1.0,A,68308.76,,capped,,610.0,B,100000.0,100.0,7766.0,Default
486,3324,9002.0,R,,100.0,,,,,,,,,6.93,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.33333333333333,A,30.0,A,23013.333333333,A,3949.0,A,0.17,A,0.0,A,0.0,A,0.0,A,0.0,A,23013.333333333,,preferred,,9002.0,R,,100.0,3435.0,Paid off with renewal
1124,8125,730.0,A,150000.0,100.0,,,,,,,,,2.29,A,74.0,,Home,A,N,,0.0,A,0.0,A,,,0.33333333333333,A,70.0,A,2291481.0,A,218279.33333333,A,0.1,A,0.0,A,0.0,A,0.0,A,0.0,A,2291481.0,,capped,,730.0,A,150000.0,100.0,6974.0,Paid in full
1377,4114,537.0,C,35000.0,100.0,,,,,,,,,10.02,A,17.0,,Verified,A,N,,0.0,A,0.0,A,,,0.2,A,32.6,A,108504.4,A,12460.4,A,0.11,A,0.0,A,0.0,A,0.0,A,2.0,C,108504.4,,standard,,537.0,C,35000.0,100.0,4122.0,Default
261,1169,508.0,C,35000.0,90.0,613.0,A,150000.0,10.0,,,,,4.13,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,201557.5,A,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,2.0,C,201557.5,,preferred,,518.0,C,35000.0,100.0,935.0,Default
996,5506,599.0,B,100000.0,100.0,,,,,,,,,10.59,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,2.8333333333333,C,9.5,R,21274.916666667,A,2580.5,A,0.12,A,0.0,A,0.0,A,0.0,A,1.0,A,21274.916666667,,standard,,599.0,B,100000.0,100.0,5017.0,Paid in full
222,1113,634.0,A,150000.0,100.0,,,,,,,,,6.8,A,86.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,1.6666666666667,R,22445.0,A,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,1.0,A,22445.0,,capped,,634.0,A,150000.0,100.0,765.0,Paid off with renewal
1453,4265,661.0,A,150000.0,100.0,,,,,,,,,16.48,A,88.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,13.0,A,948842.0,A,433275.33333333,A,0.46,A,0.0,A,0.0,A,0.0,A,0.0,A,948842.0,,preferred,,661.0,A,150000.0,100.0,4222.0,Paid in full
897,4516,600.0,A,150000.0,51.0,647.0,A,150000.0,49.0,,,,,4.81,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,58165.0,A,2500.0,A,0.04,A,0.0,A,0.0,A,0.0,A,1.0,A,58165.0,,preferred,,623.0,A,150000.0,100.0,4443.0,Default
1126,8803,620.0,B,100000.0,100.0,,,,,,,,,2.15,A,29.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,70.0,A,86020.5,A,25650.25,A,0.3,A,0.0,A,0.0,A,0.0,A,0.0,A,86020.5,,preferred,,620.0,B,100000.0,100.0,7460.0,Paid via discounted payoff
1588,6566,653.0,A,150000.0,100.0,,,,,,,,,13.56,A,69.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,653.0,A,150000.0,100.0,5855.0,Default
774,4530,613.0,A,150000.0,100.0,,,,,,,,,6.89,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,613.0,A,150000.0,100.0,4439.0,Paid in full
1031,7652,595.0,B,100000.0,100.0,,,,,,,,,8.0,A,25.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,32.5,A,45681.75,A,17387.0,A,0.38,A,0.0,A,0.0,A,0.0,A,1.0,A,45681.75,,capped,,595.0,B,100000.0,100.0,6593.0,Default
964,5895,614.0,A,150000.0,100.0,,,,,,,,,24.04,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,614.0,A,150000.0,100.0,5326.0,Paid off with renewal
739,5397,624.0,A,150000.0,100.0,,,,,,,,,0.93,C,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,27.75,A,13692.5,A,2994.75,A,0.22,A,0.0,A,0.0,A,0.0,A,1.0,A,13692.5,,preferred,,624.0,A,150000.0,100.0,4933.0,Paid off with renewal
1717,6212,568.0,B,100000.0,100.0,,,,,,,,,3.42,A,86.0,,Verified,A,N,,0.0,A,0.0,A,,,0.14285714285714,A,19.714285714286,A,86904.428571429,A,19131.857142857,A,0.22,A,0.0,A,0.0,A,0.0,A,2.0,C,86904.428571429,,preferred,,568.0,B,100000.0,100.0,5521.0,Paid in full
1864,9184,698.0,A,150000.0,100.0,,,,,,,,,2.61,A,3.0,,Unknown,,N,,0.0,A,0.0,A,,,0.33333333333333,A,27.666666666667,A,46332.333333333,A,6761.6666666667,A,0.15,A,0.0,A,0.0,A,0.0,A,0.0,A,46332.333333333,,capped,,698.0,A,150000.0,100.0,7089.0,Paid off with renewal
735,5186,716.0,A,150000.0,100.0,,,,,,,,,5.59,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,43.25,A,191364.1175,A,20752.5,A,0.11,A,0.0,A,0.0,A,0.0,A,0.0,A,191364.1175,,preferred,,716.0,A,150000.0,100.0,4765.0,Paid via discounted payoff
533,3257,0.0,,,100.0,,,,,,,,,0.93,C,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,0.0,,,0.0,3435.0,Paid off with renewal
792,4890,609.0,A,150000.0,100.0,,,,,,,,,4.95,A,4.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,87.666666666667,A,113406.495,A,52849.666666667,A,0.47,A,0.0,A,0.0,A,0.0,A,1.0,A,113406.495,,preferred,,609.0,A,150000.0,100.0,4618.0,Paid in full
1533,4755,598.0,B,100000.0,100.0,,,,,,,,,6.68,A,92.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,32.25,A,182395.6925,A,65517.5,A,0.36,A,0.0,A,0.0,A,0.0,A,0.0,A,182395.6925,,preferred,,598.0,B,100000.0,100.0,4538.0,Paid in full
474,2721,718.0,A,150000.0,100.0,,,,,,,,,26.87,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,718.0,A,150000.0,100.0,2846.0,Default
1051,6869,673.0,A,150000.0,100.0,,,,,,,,,1.84,B,83.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,2.5,R,250953.0,A,41752.0,A,0.17,A,0.0,A,0.0,A,0.0,A,0.0,A,250953.0,,preferred,,673.0,A,150000.0,100.0,6100.0,Paid in full
1061,6385,672.0,A,150000.0,100.0,,,,,,,,,2.38,A,37.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,6.8571428571429,R,145602.42857143,A,39317.0,A,0.27,A,0.0,A,0.0,A,0.0,A,1.0,A,145602.42857143,,preferred,,672.0,A,150000.0,100.0,5598.0,Paid off with renewal
544,3575,549.0,C,35000.0,100.0,,,,,,,,,5.94,A,5.0,,Verified,A,N,,0.0,A,0.0,A,,,3.75,C,19.75,A,34639.01,A,3396.0275,A,0.1,A,0.0,A,0.0,A,0.0,A,0.0,A,34639.01,,preferred,,549.0,C,35000.0,100.0,3666.0,Paid in full
1452,4180,544.0,C,35000.0,100.0,,,,,,,,,1.49,B,6.0,,Verified,A,N,,0.0,A,0.0,A,,,1.5,B,30.0,A,16709.25,A,980.25,D,0.06,A,0.0,A,0.0,A,0.0,A,2.0,C,16709.25,,preferred,,544.0,C,35000.0,100.0,4165.0,Default
33,198,650.0,A,150000.0,100.0,,,,,,,,,16.48,A,,,Home,A,N,,0.0,A,0.0,A,,,1.3333333333333,B,41.0,A,60211.046666667,A,7638.5233333333,A,0.13,A,0.0,A,0.0,A,0.0,A,2.0,C,60211.046666667,,preferred,,650.0,A,150000.0,,202.0,Paid in full
1174,2728,663.0,A,150000.0,100.0,,,,,,,,,1.68,B,85.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,663.0,A,150000.0,100.0,2858.0,Paid in full
1249,3443,619.0,A,150000.0,100.0,,,,,,,,,1.36,B,,,Verified,A,N,,0.0,A,0.0,A,,,0.66666666666667,A,8.3333333333333,R,23603.333333333,A,1760.7066666667,A,0.07,A,0.0,A,0.0,A,0.0,A,0.0,A,23603.333333333,,preferred,,619.0,A,150000.0,100.0,3593.0,Default
1215,3406,623.0,A,150000.0,100.0,,,,,,,,,4.83,A,85.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,56.0,A,68113.333333333,A,3257.3333333333,A,0.05,A,0.0,A,0.0,A,0.0,A,1.0,A,68113.333333333,,preferred,,623.0,A,150000.0,100.0,3550.0,Paid in full
1818,8076,548.0,C,35000.0,100.0,,,,,,,,,11.82,A,3.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,35.0,A,49774.75,A,6043.0,A,0.12,A,0.0,A,0.0,A,0.0,A,1.0,A,49774.75,,preferred,,548.0,C,35000.0,100.0,6916.0,Default
181,685,551.0,B,100000.0,100.0,,,,,,,,,1805.4,A,5.0,,Verified,A,N,,0.0,A,0.0,A,,,2.8,C,0.0,R,102124.8,A,4400.0,A,0.04,A,0.0,A,0.0,A,0.0,A,1.0,A,102124.8,,capped,,551.0,B,100000.0,100.0,429.0,Paid in full
421,2156,620.0,A,150000.0,100.0,,,,,,,,,8.28,A,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,130000.0,A,8000.0,A,0.06,A,0.0,A,0.0,A,0.0,A,1.0,A,130000.0,,preferred,,620.0,A,150000.0,100.0,2234.0,Paid off with renewal
1318,3479,682.0,A,150000.0,100.0,,,,,,,,,2.41,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,33.666666666667,A,68417.77,A,5608.0533333333,A,0.08,A,0.0,A,0.0,A,0.0,A,1.0,A,68417.77,,preferred,,682.0,A,150000.0,100.0,3536.0,Paid in full
501,2583,664.0,A,150000.0,100.0,,,,,,,,,4.39,A,6.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,5.5,R,85741.5,A,26285.5,A,0.31,A,0.0,A,0.0,A,0.0,A,1.0,A,85741.5,,standard,,664.0,A,150000.0,100.0,2630.0,Paid in full
223,1094,562.0,B,100000.0,100.0,,,,,,,,,1.7,B,33.0,,Verified,A,N,,0.0,A,0.0,A,,,0.25,A,16.25,A,25317.75,A,3112.5,A,0.12,A,0.0,A,0.0,A,0.0,A,0.0,A,25317.75,,standard,,562.0,B,100000.0,100.0,703.0,Paid in full
489,3442,619.0,A,150000.0,100.0,,,,,,,,,1.36,B,,,Home,A,N,,0.0,A,0.0,A,,,0.66666666666667,A,8.3333333333333,R,23603.333333333,A,1760.7066666667,A,0.07,A,0.0,A,0.0,A,0.0,A,0.0,A,23603.333333333,,preferred,,619.0,A,150000.0,100.0,3593.0,Default
